Id;Parente;Conciliação;Regra;Status;Nome;Email;Data;Cargo;Salario;Nome (Diferença);Email (Diferença);Data (Diferença);Cargo (Diferença);Salario (Diferença)
24;Volume 10k;Batimento Total;Batido;24;Alice Melo;julia76@example.com;1994-06-23;Analista;5970.71;;;;;
25;Volume 10k;Batimento Total;Batido;25;Valentina Farias;pda-mata@example.com;2004-12-29;Analista;6322.22;;;;;
26;Volume 10k;Batimento Total;Batido;26;Thiago Mendes;nduarte@example.net;2009-03-27;Gerente;5221.5;;;;;
27;Volume 10k;Batimento Total;Batido;27;Sabrina Costela;lais10@example.com;2008-12-27;Diretor;8055.46;;;;;
28;Volume 10k;Batimento Total;Batido;28;João Guilherme Souza;emanuellaviana@example.net;2019-02-05;Analista;9844.91;;;;;
29;Volume 10k;Batimento Total;Batido;29;Felipe Sales;almeidarafaela@example.org;2008-04-12;Diretor;9379.68;;;;;
30;Volume 10k;Batimento Total;Batido;30;Enzo Gabriel Campos;stellarocha@example.net;2003-02-25;Analista;5660.48;;;;;
31;Volume 10k;Batimento Total;Batido;31;Vitor Hugo Moura;ycardoso@example.net;2000-08-08;Gerente;7786.8;;;;;
32;Volume 10k;Batimento Total;Batido;32;Lorena Ferreira;pintocaue@example.net;2021-04-17;Gerente;7923.17;;;;;
33;Volume 10k;Batimento Total;Batido;33;Antônio Rocha;gabrielpereira@example.net;1996-05-07;Analista;9375.7;;;;;
34;Volume 10k;Batimento Total;Batido;34;Alícia Melo;ocardoso@example.org;1997-07-22;Diretor;8637.47;;;;;
35;Volume 10k;Batimento Total;Batido;35;Stella Farias;gomeseduarda@example.com;2010-07-18;Gerente;7339.92;;;;;
36;Volume 10k;Batimento Total;Batido;36;Enrico Martins;julia59@example.net;2011-04-09;Gerente;9850.6;;;;;
37;Volume 10k;Batimento Total;Batido;37;Cecília Costela;ida-cunha@example.net;2002-06-03;Analista;7552.68;;;;;
38;Volume 10k;Batimento Total;Batido;38;Vitor Gabriel da Conceição;amoraes@example.com;2003-11-19;Diretor;6226.18;;;;;
39;Volume 10k;Batimento Total;Batido;39;Agatha Silveira;eloahcardoso@example.org;2017-09-05;Gerente;8775.39;;;;;
40;Volume 10k;Batimento Total;Batido;40;Isabelly Santos;martinsnicolas@example.com;1996-02-12;Gerente;8817.71;;;;;
41;Volume 10k;Batimento Total;Batido;41;Yago Nunes;jjesus@example.org;2004-04-19;Gerente;9313.63;;;;;
42;Volume 10k;Batimento Total;Batido;42;Giovanna Melo;teixeirakaique@example.net;2005-11-06;Analista;6914.51;;;;;
43;Volume 10k;Batimento Total;Batido;43;Laís Rodrigues;benjaminpereira@example.net;2020-01-13;Diretor;9392.64;;;;;
44;Volume 10k;Batimento Total;Batido;44;Gabriela Almeida;garaujo@example.org;2016-07-06;Gerente;5362.87;;;;;
45;Volume 10k;Batimento Total;Batido;45;Marcelo Aragão;peixotoalexandre@example.net;2010-03-14;Analista;8808.49;;;;;
46;Volume 10k;Batimento Total;Batido;46;Renan Silva;bryanduarte@example.com;2008-03-02;Gerente;5569.45;;;;;
47;Volume 10k;Batimento Total;Batido;47;Guilherme Viana;ian96@example.org;2020-11-08;Analista;9168.33;;;;;
48;Volume 10k;Batimento Total;Batido;48;Luiza Araújo;lorenzosilva@example.com;2009-05-27;Diretor;6357.87;;;;;
49;Volume 10k;Batimento Total;Batido;49;Agatha da Costa;lorenzopeixoto@example.net;1993-02-18;Diretor;8574.9;;;;;
50;Volume 10k;Batimento Total;Batido;50;Kaique Ribeiro;bfreitas@example.org;2016-06-12;Analista;5432.4;;;;;
51;Volume 10k;Batimento Total;Batido;51;Leonardo da Mota;goncalvesana-sophia@example.org;2018-02-01;Diretor;6725.79;;;;;
52;Volume 10k;Batimento Total;Batido;52;Isaac Melo;diaspedro@example.com;2012-11-16;Diretor;7814.26;;;;;
53;Volume 10k;Batimento Total;Batido;53;Marcos Vinicius Cavalcanti;amandajesus@example.com;1996-12-18;Gerente;8885.4;;;;;
54;Volume 10k;Batimento Total;Batido;54;Ana Lívia Viana;pedro-lucas57@example.org;2007-08-04;Gerente;5805.2;;;;;
55;Volume 10k;Batimento Total;Batido;55;Gabriela Monteiro;paulobarbosa@example.net;2001-08-20;Analista;6538.39;;;;;
56;Volume 10k;Batimento Total;Batido;56;Kamilly Fogaça;ana-julia49@example.net;2007-11-02;Diretor;8187.98;;;;;
57;Volume 10k;Batimento Total;Batido;57;Isabelly da Rosa;tdias@example.net;2015-06-11;Diretor;8368.18;;;;;
58;Volume 10k;Batimento Total;Batido;58;Sofia Rocha;vianalevi@example.org;2020-04-03;Analista;8335.72;;;;;
59;Volume 10k;Batimento Total;Batido;59;Gustavo Henrique da Costa;davi-luccarocha@example.com;1998-09-23;Diretor;8224.61;;;;;
60;Volume 10k;Batimento Total;Batido;60;Alana da Mata;costelamaria@example.com;2008-05-14;Gerente;7931.29;;;;;
61;Volume 10k;Batimento Total;Batido;61;Isaac Alves;monteirocaio@example.net;2001-03-14;Diretor;5463.11;;;;;
62;Volume 10k;Batimento Total;Batido;62;Sarah Porto;lucasgomes@example.org;2017-02-26;Analista;9129.27;;;;;
63;Volume 10k;Batimento Total;Batido;63;Fernando Aragão;diego59@example.com;2004-07-12;Diretor;9926.14;;;;;
64;Volume 10k;Batimento Total;Batido;64;Agatha da Mata;vianamirella@example.net;1994-01-12;Diretor;5149.17;;;;;
65;Volume 10k;Batimento Total;Batido;65;Sofia da Rocha;limajoaquim@example.com;2019-01-21;Diretor;6723.63;;;;;
66;Volume 10k;Batimento Total;Batido;66;Thales da Luz;da-pazcarolina@example.org;2011-02-17;Analista;7165.33;;;;;
67;Volume 10k;Batimento Total;Batido;67;Rafael Rodrigues;pietro86@example.org;2011-12-15;Gerente;6562.23;;;;;
68;Volume 10k;Batimento Total;Batido;68;Yasmin Aragão;kaiquefreitas@example.com;2016-07-26;Analista;9083.84;;;;;
69;Volume 10k;Batimento Total;Batido;69;Pedro Alves;claraduarte@example.com;2001-09-17;Analista;7956.1;;;;;
70;Volume 10k;Batimento Total;Batido;70;Bruno Duarte;danilo18@example.org;1993-02-03;Analista;7056.3;;;;;
71;Volume 10k;Batimento Total;Batido;71;Gabrielly Correia;moraesmaria-alice@example.org;2001-12-17;Analista;5558.36;;;;;
72;Volume 10k;Batimento Total;Batido;72;Letícia Santos;melissacorreia@example.com;2016-05-10;Analista;8360.27;;;;;
73;Volume 10k;Batimento Total;Batido;73;Theo Costa;pireseduarda@example.net;1993-09-08;Analista;9314.29;;;;;
74;Volume 10k;Batimento Total;Batido;74;Gabriel Cavalcanti;nicolascardoso@example.com;2005-09-20;Gerente;9350.89;;;;;
75;Volume 10k;Batimento Total;Batido;75;Antônio Barros;theogoncalves@example.org;2008-05-19;Analista;5924.33;;;;;
76;Volume 10k;Batimento Total;Batido;76;Isaac da Mata;heloisa60@example.com;2016-01-13;Diretor;8260.89;;;;;
77;Volume 10k;Batimento Total;Batido;77;Alana Barbosa;melissagomes@example.org;2007-05-10;Gerente;6356.77;;;;;
78;Volume 10k;Batimento Total;Batido;78;Nathan Lopes;isales@example.com;2011-10-22;Diretor;8792.5;;;;;
79;Volume 10k;Batimento Total;Batido;79;Beatriz Freitas;lucca82@example.org;2006-07-13;Gerente;9679.64;;;;;
80;Volume 10k;Batimento Total;Batido;80;Maria Clara Castro;mirellada-rocha@example.com;2021-01-31;Gerente;6471.83;;;;;
81;Volume 10k;Batimento Total;Batido;81;Yuri Silveira;stellada-conceicao@example.org;2017-10-20;Diretor;6172.38;;;;;
82;Volume 10k;Batimento Total;Batido;82;Breno Jesus;cbarbosa@example.com;2001-10-22;Gerente;7456.71;;;;;
83;Volume 10k;Batimento Total;Batido;83;João Gabriel Nogueira;maria-clara55@example.org;2004-05-20;Gerente;7382.63;;;;;
84;Volume 10k;Batimento Total;Batido;84;Paulo Sales;ryanpeixoto@example.com;1999-10-18;Diretor;6705.59;;;;;
85;Volume 10k;Batimento Total;Batido;85;Kamilly Souza;sporto@example.net;2002-03-16;Diretor;6479.14;;;;;
86;Volume 10k;Batimento Total;Batido;86;Ana Júlia Moura;eduarda92@example.net;2005-09-20;Diretor;6151.18;;;;;
87;Volume 10k;Batimento Total;Batido;87;Matheus Silveira;raulda-costa@example.com;2012-02-21;Gerente;8711.37;;;;;
88;Volume 10k;Batimento Total;Batido;88;Vinicius Correia;lorenanunes@example.org;2011-09-07;Gerente;6084.31;;;;;
89;Volume 10k;Batimento Total;Batido;89;Luna Azevedo;juliacastro@example.org;2010-11-14;Diretor;9497.61;;;;;
90;Volume 10k;Batimento Total;Batido;90;Lara Vieira;fariasmarcos-vinicius@example.com;1997-10-16;Diretor;7718.38;;;;;
91;Volume 10k;Batimento Total;Batido;91;João Rodrigues;fariasgiovanna@example.com;2019-04-04;Analista;5676.38;;;;;
92;Volume 10k;Batimento Total;Batido;92;João Miguel Azevedo;luiz-felipeteixeira@example.org;2004-05-21;Diretor;5114.23;;;;;
93;Volume 10k;Batimento Total;Batido;93;Maria Sophia da Cruz;joao-pedro38@example.org;2019-08-20;Diretor;9776.39;;;;;
94;Volume 10k;Batimento Total;Batido;94;Maria Vitória Oliveira;sbarbosa@example.com;2001-03-10;Diretor;8369.42;;;;;
95;Volume 10k;Batimento Total;Batido;95;Luana Azevedo;maitefogaca@example.net;2013-06-18;Gerente;9019.32;;;;;
96;Volume 10k;Batimento Total;Batido;96;Ana Lívia Oliveira;xmendes@example.org;2005-03-12;Diretor;8081.66;;;;;
97;Volume 10k;Batimento Total;Batido;97;Ana Beatriz Teixeira;castroisis@example.net;1997-02-07;Gerente;8406.18;;;;;
98;Volume 10k;Batimento Total;Batido;98;Nathan Ramos;jesusluiz-otavio@example.com;2000-08-28;Diretor;9856.86;;;;;
99;Volume 10k;Batimento Total;Batido;99;Kevin Barros;barrosjoao-pedro@example.com;2019-12-01;Gerente;5466.75;;;;;
100;Volume 10k;Batimento Total;Batido;100;Augusto da Costa;ian40@example.org;2008-01-21;Gerente;8741.16;;;;;
101;Volume 10k;Batimento Total;Batido;101;Bernardo Nogueira;barroslucas-gabriel@example.net;2005-12-08;Gerente;6842.72;;;;;
102;Volume 10k;Batimento Total;Batido;102;Manuela Moura;sophienascimento@example.net;2001-10-13;Diretor;7162.11;;;;;
103;Volume 10k;Batimento Total;Batido;103;Igor da Costa;mlopes@example.org;2016-04-21;Diretor;7075.22;;;;;
104;Volume 10k;Batimento Total;Batido;104;Yuri Vieira;cardosoantonio@example.net;2018-07-20;Gerente;9571.18;;;;;
105;Volume 10k;Batimento Total;Batido;105;Fernando Santos;aramos@example.com;1993-07-13;Analista;7389.33;;;;;
106;Volume 10k;Batimento Total;Batido;106;Nicole Oliveira;daniel85@example.com;2017-02-16;Diretor;6010.43;;;;;
107;Volume 10k;Batimento Total;Batido;107;Luiz Fernando Cunha;bruno62@example.org;2022-05-26;Diretor;6398.88;;;;;
108;Volume 10k;Batimento Total;Batido;108;Pedro Lucas Correia;gabriellyda-conceicao@example.com;2014-04-27;Analista;7819.73;;;;;
109;Volume 10k;Batimento Total;Batido;109;Emanuel Souza;renansouza@example.org;2001-06-29;Gerente;6676.41;;;;;
110;Volume 10k;Batimento Total;Batido;110;Samuel Sales;antonio86@example.org;2007-04-21;Analista;7573.46;;;;;
111;Volume 10k;Batimento Total;Batido;111;Leonardo Nascimento;martinsluiz-miguel@example.org;1998-01-29;Diretor;6392.42;;;;;
112;Volume 10k;Batimento Total;Batido;112;Yuri da Luz;vporto@example.com;2021-09-07;Gerente;6235.17;;;;;
113;Volume 10k;Batimento Total;Batido;113;Fernando Cunha;ksouza@example.net;2006-05-12;Gerente;8422.16;;;;;
114;Volume 10k;Batimento Total;Batido;114;Noah Rocha;jesuserick@example.org;2002-11-19;Gerente;5211.74;;;;;
115;Volume 10k;Batimento Total;Batido;115;Lívia Gonçalves;catarina75@example.com;2008-02-23;Diretor;7079.91;;;;;
116;Volume 10k;Batimento Total;Batido;116;João Lucas Novaes;isabelly53@example.com;2020-03-24;Gerente;6120.86;;;;;
117;Volume 10k;Batimento Total;Batido;117;Emanuel Viana;levi67@example.org;2000-07-08;Gerente;5662.11;;;;;
118;Volume 10k;Batimento Total;Batido;118;Luana Azevedo;agatha60@example.org;1996-08-19;Analista;8909.69;;;;;
119;Volume 10k;Batimento Total;Batido;119;Manuela Rocha;yda-mata@example.org;2021-06-07;Analista;5309.77;;;;;
120;Volume 10k;Batimento Total;Batido;120;Vinicius Fogaça;marcelacavalcanti@example.net;2019-06-25;Analista;5048.88;;;;;
121;Volume 10k;Batimento Total;Batido;121;João Felipe Novaes;almeidacalebe@example.com;2008-01-17;Gerente;6296.91;;;;;
122;Volume 10k;Batimento Total;Batido;122;Caroline Carvalho;piresenrico@example.com;1997-07-19;Analista;6326.2;;;;;
123;Volume 10k;Batimento Total;Batido;123;Pedro Miguel Peixoto;rpeixoto@example.net;2006-02-15;Diretor;5640.77;;;;;
124;Volume 10k;Batimento Total;Batido;124;Esther da Costa;gabriel66@example.org;2018-03-12;Analista;8107.53;;;;;
125;Volume 10k;Batimento Total;Batido;125;João Santos;wpinto@example.net;1994-08-21;Diretor;8181.27;;;;;
126;Volume 10k;Batimento Total;Batido;126;Sarah Carvalho;mnogueira@example.net;2006-09-11;Analista;7362.65;;;;;
127;Volume 10k;Batimento Total;Batido;127;Thales Cardoso;ribeiroluiz-otavio@example.org;2007-01-07;Analista;5179.6;;;;;
128;Volume 10k;Batimento Total;Batido;128;Leonardo Lopes;rebecacardoso@example.org;2014-01-19;Gerente;6034.46;;;;;
129;Volume 10k;Batimento Total;Batido;129;Vitor Gabriel Costela;cardosoisabel@example.net;2010-12-11;Diretor;8084.91;;;;;
130;Volume 10k;Batimento Total;Batido;130;Thiago Campos;rrocha@example.net;2009-04-02;Diretor;6015.11;;;;;
131;Volume 10k;Batimento Total;Batido;131;Alexia Teixeira;juanda-rocha@example.net;2002-02-03;Gerente;8087.19;;;;;
132;Volume 10k;Batimento Total;Batido;132;Julia Ramos;goliveira@example.net;2017-07-24;Analista;9036.38;;;;;
133;Volume 10k;Batimento Total;Batido;133;Diego Costa;aragaobreno@example.org;2015-10-18;Diretor;5619.83;;;;;
134;Volume 10k;Batimento Total;Batido;134;Danilo Vieira;fgoncalves@example.net;2016-08-19;Gerente;6451.9;;;;;
135;Volume 10k;Batimento Total;Batido;135;João Guilherme da Mata;da-cunhaana-luiza@example.net;2008-06-05;Analista;7027.78;;;;;
136;Volume 10k;Batimento Total;Batido;136;Sophie Castro;ana-beatriz70@example.org;2008-03-15;Gerente;8107.87;;;;;
137;Volume 10k;Batimento Total;Batido;137;Danilo Almeida;mendesana@example.net;2003-08-22;Analista;8526.45;;;;;
138;Volume 10k;Batimento Total;Batido;138;Marcela Dias;jrezende@example.org;1997-01-19;Analista;9219.55;;;;;
139;Volume 10k;Batimento Total;Batido;139;Raul Souza;yuri11@example.org;2004-01-16;Analista;9112.46;;;;;
140;Volume 10k;Batimento Total;Batido;140;Isis Silveira;santosclara@example.org;2005-02-20;Diretor;7529.1;;;;;
141;Volume 10k;Batimento Total;Batido;141;Mariane Nogueira;goncalvesisabelly@example.com;2000-06-27;Gerente;5395.31;;;;;
142;Volume 10k;Batimento Total;Batido;142;Stephany da Paz;vianabeatriz@example.com;1993-06-30;Analista;7014.96;;;;;
143;Volume 10k;Batimento Total;Batido;143;Ana Almeida;maria69@example.com;2022-02-06;Gerente;8106.94;;;;;
144;Volume 10k;Batimento Total;Batido;144;Isadora Correia;ana-juliamelo@example.org;2020-01-14;Gerente;8164.75;;;;;
145;Volume 10k;Batimento Total;Batido;145;Augusto Pinto;piresana-julia@example.com;2001-11-30;Gerente;5645.84;;;;;
146;Volume 10k;Batimento Total;Batido;146;Rafael Ribeiro;kaiquenascimento@example.org;1999-04-03;Diretor;9267.82;;;;;
147;Volume 10k;Batimento Total;Batido;147;Lorena Martins;ifernandes@example.net;2016-12-02;Analista;8165.73;;;;;
148;Volume 10k;Batimento Total;Batido;148;Caroline Gonçalves;gabrielly93@example.net;2021-06-13;Gerente;9315.91;;;;;
149;Volume 10k;Batimento Total;Batido;149;Lorena Peixoto;joaquimalmeida@example.org;2019-07-31;Diretor;5911.94;;;;;
150;Volume 10k;Batimento Total;Batido;150;Yago Correia;antoniooliveira@example.com;2020-02-24;Analista;5923.57;;;;;
151;Volume 10k;Batimento Total;Batido;151;Catarina Ferreira;lopesrebeca@example.com;1998-03-26;Diretor;8021.38;;;;;
152;Volume 10k;Batimento Total;Batido;152;Heloísa Aragão;maria-sophiaviana@example.org;2008-08-12;Diretor;9157.4;;;;;
153;Volume 10k;Batimento Total;Batido;153;Luana Duarte;mmoura@example.com;2002-02-25;Analista;7986.7;;;;;
154;Volume 10k;Batimento Total;Batido;154;Francisco Silva;marcelalima@example.net;2008-04-06;Analista;7535.61;;;;;
155;Volume 10k;Batimento Total;Batido;155;Yago Porto;saleslavinia@example.net;2000-08-09;Analista;9464.74;;;;;
156;Volume 10k;Batimento Total;Batido;156;Mariane Costa;diascecilia@example.com;2014-07-20;Diretor;5745.7;;;;;
157;Volume 10k;Batimento Total;Batido;157;Milena Rodrigues;ybarros@example.org;1998-01-25;Analista;6295.39;;;;;
158;Volume 10k;Batimento Total;Batido;158;Fernando Rocha;luiz-henriquelima@example.net;2003-10-29;Analista;6729.4;;;;;
159;Volume 10k;Batimento Total;Batido;159;Noah Nunes;pietra81@example.com;1994-07-07;Gerente;5551.16;;;;;
160;Volume 10k;Batimento Total;Batido;160;Nathan Moreira;souzaana-julia@example.com;1997-02-06;Diretor;9766.7;;;;;
161;Volume 10k;Batimento Total;Batido;161;Gabriela Viana;melissada-rocha@example.net;1994-05-27;Analista;9428.13;;;;;
162;Volume 10k;Batimento Total;Batido;162;Thomas Aragão;marceloporto@example.net;2000-10-20;Gerente;5253.82;;;;;
163;Volume 10k;Batimento Total;Batido;163;João Felipe Aragão;danielafreitas@example.com;2000-06-07;Diretor;8602.9;;;;;
164;Volume 10k;Batimento Total;Batido;164;Valentina Pinto;ana-liviajesus@example.net;2020-06-06;Analista;8458.74;;;;;
165;Volume 10k;Batimento Total;Batido;165;Bruno Pereira;gabriela72@example.org;2003-11-30;Diretor;8990.8;;;;;
166;Volume 10k;Batimento Total;Batido;166;Luiz Otávio Barros;emanuelly75@example.net;2003-03-10;Gerente;6395.57;;;;;
167;Volume 10k;Batimento Total;Batido;167;Elisa Novaes;nogueirathomas@example.net;2007-10-03;Gerente;7569.32;;;;;
168;Volume 10k;Batimento Total;Batido;168;Joana Fogaça;npeixoto@example.com;1993-01-18;Diretor;8350.69;;;;;
169;Volume 10k;Batimento Total;Batido;169;Olivia Jesus;cda-conceicao@example.com;2015-05-16;Analista;5577.13;;;;;
170;Volume 10k;Batimento Total;Batido;170;Vitor Gabriel Oliveira;moraesrodrigo@example.com;2016-09-11;Diretor;5554.8;;;;;
171;Volume 10k;Batimento Total;Batido;171;Fernanda Cardoso;ana-carolinacorreia@example.net;2012-08-16;Diretor;5919.49;;;;;
172;Volume 10k;Batimento Total;Batido;172;Lavínia Teixeira;nathancarvalho@example.org;1993-08-17;Diretor;5708.6;;;;;
173;Volume 10k;Batimento Total;Batido;173;João Pedro Barros;uribeiro@example.org;2018-07-07;Gerente;5184.61;;;;;
174;Volume 10k;Batimento Total;Batido;174;Heitor da Mota;azevedoluiz-miguel@example.net;2006-07-28;Diretor;6845.44;;;;;
175;Volume 10k;Batimento Total;Batido;175;Maria da Luz;castrojoaquim@example.net;2005-08-23;Analista;7128.96;;;;;
176;Volume 10k;Batimento Total;Batido;176;Yasmin Dias;wsantos@example.org;1993-03-13;Diretor;5211.81;;;;;
177;Volume 10k;Batimento Total;Batido;177;Murilo Fogaça;marianavieira@example.org;2021-07-18;Diretor;5989.4;;;;;
178;Volume 10k;Batimento Total;Batido;178;Mariana Cardoso;oliviapinto@example.com;1998-10-03;Diretor;8452.11;;;;;
179;Volume 10k;Batimento Total;Batido;179;Lorena Farias;nathanazevedo@example.com;2003-11-14;Diretor;6196.66;;;;;
180;Volume 10k;Batimento Total;Batido;180;Júlia Teixeira;bda-mata@example.net;2011-10-05;Gerente;7713.2;;;;;
181;Volume 10k;Batimento Total;Batido;181;João Pedro Santos;gabrielanovaes@example.net;2002-07-24;Analista;6774.38;;;;;
182;Volume 10k;Batimento Total;Batido;182;Elisa Nunes;henrique69@example.com;2010-01-13;Diretor;9188.23;;;;;
183;Volume 10k;Batimento Total;Batido;183;Miguel da Mota;ycardoso@example.org;2000-01-09;Diretor;9696.96;;;;;
184;Volume 10k;Batimento Total;Batido;184;Danilo da Mota;imoraes@example.net;2003-10-06;Analista;5808.9;;;;;
185;Volume 10k;Batimento Total;Batido;185;Luiz Otávio da Conceição;salescaue@example.net;2012-06-28;Gerente;6373.99;;;;;
186;Volume 10k;Batimento Total;Batido;186;Vitor Gabriel Ferreira;helena29@example.com;2014-01-17;Analista;8428.8;;;;;
187;Volume 10k;Batimento Total;Batido;187;Fernanda Duarte;beatriz47@example.com;2018-07-28;Analista;5863.29;;;;;
188;Volume 10k;Batimento Total;Batido;188;Isis Teixeira;ana-vitorialima@example.org;1999-01-03;Gerente;7030.78;;;;;
189;Volume 10k;Batimento Total;Batido;189;Luiz Gustavo Novaes;raquel55@example.org;2004-08-18;Gerente;6330.23;;;;;
190;Volume 10k;Batimento Total;Batido;190;Maria Pinto;rcosta@example.org;2012-11-04;Gerente;8592.72;;;;;
191;Volume 10k;Batimento Total;Batido;191;Miguel Costela;gomespedro-miguel@example.com;1996-11-14;Analista;9604.55;;;;;
192;Volume 10k;Batimento Total;Batido;192;Otávio da Luz;diego57@example.com;2021-11-08;Diretor;5897.1;;;;;
193;Volume 10k;Batimento Total;Batido;193;Gustavo Henrique Ramos;jesusnina@example.org;1994-02-19;Gerente;8986.4;;;;;
194;Volume 10k;Batimento Total;Batido;194;Mariane Almeida;msilva@example.net;2022-02-28;Diretor;7676.7;;;;;
195;Volume 10k;Batimento Total;Batido;195;Ana Lívia Pinto;danielasilveira@example.com;2004-07-01;Analista;8155.26;;;;;
196;Volume 10k;Batimento Total;Batido;196;Sabrina Fernandes;koliveira@example.org;2007-09-07;Analista;6755.87;;;;;
197;Volume 10k;Batimento Total;Batido;197;Heitor Nogueira;zsilveira@example.net;2004-01-30;Diretor;9146.94;;;;;
198;Volume 10k;Batimento Total;Batido;198;Sofia Moura;da-cruzpedro-miguel@example.com;1995-06-15;Analista;7524.56;;;;;
199;Volume 10k;Batimento Total;Batido;199;Antônio Cardoso;pintoeduarda@example.com;2021-10-31;Analista;6968.16;;;;;
200;Volume 10k;Batimento Total;Batido;200;Gustavo Henrique Campos;joao-lucas77@example.com;2011-06-05;Diretor;6199.91;;;;;
201;Volume 10k;Batimento Total;Batido;201;Gustavo Caldeira;raulcardoso@example.net;2013-03-20;Gerente;5188.36;;;;;
202;Volume 10k;Batimento Total;Batido;202;Lucca Rocha;jesusanthony@example.net;2000-06-21;Diretor;5094.18;;;;;
203;Volume 10k;Batimento Total;Batido;203;Heitor Viana;gabriellyda-mota@example.com;2001-09-27;Gerente;6958.52;;;;;
204;Volume 10k;Batimento Total;Batido;204;Gabrielly Nogueira;alice90@example.net;1996-10-05;Diretor;8228.14;;;;;
205;Volume 10k;Batimento Total;Batido;205;Leandro Peixoto;zramos@example.org;2015-12-18;Gerente;5854.61;;;;;
206;Volume 10k;Batimento Total;Batido;206;Isabella Duarte;azevedodavi-lucas@example.com;2004-02-05;Analista;9308.37;;;;;
207;Volume 10k;Batimento Total;Batido;207;Henrique Campos;arezende@example.net;2014-10-29;Gerente;9683.83;;;;;
208;Volume 10k;Batimento Total;Batido;208;Alícia Farias;fcosta@example.net;2011-09-02;Gerente;9619.5;;;;;
209;Volume 10k;Batimento Total;Batido;209;Bianca Moura;mcardoso@example.net;1993-03-18;Analista;7880.15;;;;;
210;Volume 10k;Batimento Total;Batido;210;Giovanna Azevedo;maria-julia71@example.com;1992-11-29;Diretor;6199.44;;;;;
211;Volume 10k;Batimento Total;Batido;211;Ana Clara Vieira;fernandesbenjamin@example.net;2000-12-18;Gerente;6428.37;;;;;
212;Volume 10k;Batimento Total;Batido;212;Clarice Pinto;salesmaria-cecilia@example.org;2019-11-19;Gerente;6583.99;;;;;
213;Volume 10k;Batimento Total;Batido;213;João Felipe Barbosa;oliveiragustavo@example.net;2000-11-03;Analista;8092.49;;;;;
214;Volume 10k;Batimento Total;Batido;214;Thomas Almeida;piresluiz-otavio@example.net;2013-05-17;Gerente;5672.51;;;;;
215;Volume 10k;Batimento Total;Batido;215;Benício Cardoso;drodrigues@example.net;2008-11-04;Gerente;9461.73;;;;;
