Id;Parente;Conciliacao;Regra;Status;Codigo;Nome;Email;Data;Cargo;Salario;Nome (Diferenca);Email (Diferenca);Data (Diferenca);Cargo (Diferenca);Salario (Diferenca);
52;52;Volume 10k;Agencia/Conta;Matched;52;Cau� da Mota;maysa41@example.com;2004-11-08;Gerente;8107.56;;;;;;
53;53;Volume 10k;Agencia/Conta;Matched;53;Luiz Ot�vio Cardoso;kcardoso@example.org;1997-03-04;Diretor;5962.12;;;;;;
54;54;Volume 10k;Agencia/Conta;Matched;54;Augusto Peixoto;vda-luz@example.org;2015-12-17;Gerente;6484.41;;;;;;
55;55;Volume 10k;Agencia/Conta;Matched;55;Theo Novaes;ynunes@example.com;2020-05-05;Analista;9686.58;;;;;;
56;56;Volume 10k;Agencia/Conta;Matched;56;Isabella Teixeira;luana37@example.net;2016-04-24;Analista;9774.41;;;;;;
57;57;Volume 10k;Agencia/Conta;Matched;57;Heitor Nascimento;ana-julia40@example.org;2011-08-09;Analista;5981.51;;;;;;
58;58;Volume 10k;Agencia/Conta;Matched;58;Heitor Costa;pda-mota@example.org;2014-01-06;Analista;7076.38;;;;;;
59;59;Volume 10k;Agencia/Conta;Matched;59;Milena Rocha;waragao@example.net;2009-05-10;Gerente;5277.22;;;;;;
60;60;Volume 10k;Agencia/Conta;Matched;60;Jo�o Vitor Nunes;matheusbarbosa@example.com;1996-09-17;Analista;7944.41;;;;;;
61;61;Volume 10k;Agencia/Conta;Matched;61;Elisa Silveira;marcelo94@example.net;1997-08-07;Diretor;6042.8;;;;;;
62;62;Volume 10k;Agencia/Conta;Matched;62;Al�cia Cardoso;inovaes@example.org;2011-05-13;Gerente;6063.28;;;;;;
63;63;Volume 10k;Agencia/Conta;Matched;63;Gabriela Oliveira;vitoria63@example.org;1996-11-13;Diretor;5960.5;;;;;;
64;64;Volume 10k;Agencia/Conta;Matched;64;Melissa Freitas;fernandasantos@example.org;2007-01-05;Gerente;5496.71;;;;;;
65;65;Volume 10k;Agencia/Conta;Matched;65;Vinicius Alves;kcarvalho@example.com;2001-09-01;Diretor;7446.53;;;;;;
66;66;Volume 10k;Agencia/Conta;Matched;66;Lav�nia Barbosa;luiz-miguelsantos@example.com;1997-11-04;Diretor;8602.96;;;;;;
67;67;Volume 10k;Agencia/Conta;Matched;67;La�s Farias;carolinemartins@example.net;2014-10-25;Diretor;8540.5;;;;;;
68;68;Volume 10k;Agencia/Conta;Matched;68;Leonardo Monteiro;enrico76@example.net;2005-12-01;Gerente;8798.58;;;;;;
69;69;Volume 10k;Agencia/Conta;Matched;69;Ana L�via Santos;erick91@example.com;2012-06-22;Diretor;9924.36;;;;;;
70;70;Volume 10k;Agencia/Conta;Matched;70;Isis Vieira;speixoto@example.net;2012-07-22;Gerente;6298.56;;;;;;
71;71;Volume 10k;Agencia/Conta;Matched;71;Let�cia Foga�a;pietra48@example.net;2017-02-02;Diretor;6604.2;;;;;;
72;72;Volume 10k;Agencia/Conta;Matched;72;Amanda Barros;maria-claracardoso@example.com;2014-01-04;Gerente;9206.9;;;;;;
73;73;Volume 10k;Agencia/Conta;Matched;73;Helo�sa Duarte;maysa87@example.org;2006-11-24;Analista;6008.66;;;;;;
74;74;Volume 10k;Agencia/Conta;Matched;74;Leonardo Ribeiro;nrezende@example.net;2010-07-20;Analista;7066.94;;;;;;
75;75;Volume 10k;Agencia/Conta;Matched;75;Levi da Paz;giovannasantos@example.net;2022-02-04;Diretor;8306.91;;;;;;
76;76;Volume 10k;Agencia/Conta;Matched;76;Enzo Costa;dsilveira@example.net;2002-07-23;Diretor;6948.0;;;;;;
77;77;Volume 10k;Agencia/Conta;Matched;77;Bernardo Silva;zda-rosa@example.com;2016-08-10;Analista;9426.73;;;;;;
78;78;Volume 10k;Agencia/Conta;Matched;78;Nathan Martins;da-motavitor@example.com;2018-10-28;Gerente;9228.55;;;;;;
79;79;Volume 10k;Agencia/Conta;Matched;79;Pietro Novaes;emanuelly47@example.com;2010-06-21;Diretor;5414.55;;;;;;
80;80;Volume 10k;Agencia/Conta;Matched;80;Maria Julia Cunha;ofogaca@example.com;2003-07-14;Diretor;5670.97;;;;;;
81;81;Volume 10k;Agencia/Conta;Matched;81;Jo�o Dias;sophie94@example.net;2017-07-23;Gerente;8050.5;;;;;;
82;82;Volume 10k;Agencia/Conta;Matched;82;Pietro da Rosa;da-cruzana-carolina@example.net;1996-11-20;Diretor;8403.42;;;;;;
83;83;Volume 10k;Agencia/Conta;Matched;83;Jo�o Felipe Silva;orezende@example.net;1998-10-23;Diretor;9208.72;;;;;;
84;84;Volume 10k;Agencia/Conta;Matched;84;Sophia Fernandes;eduardacarvalho@example.net;1997-02-06;Gerente;7052.81;;;;;;
85;85;Volume 10k;Agencia/Conta;Matched;85;Thiago Gomes;tcostela@example.org;1993-04-04;Diretor;9379.0;;;;;;
86;86;Volume 10k;Agencia/Conta;Matched;86;Juliana Cardoso;joao-gabrieljesus@example.net;2011-10-26;Gerente;7656.55;;;;;;
87;87;Volume 10k;Agencia/Conta;Matched;87;Vicente Lima;luiz-otaviodas-neves@example.com;2012-05-14;Diretor;9099.55;;;;;;
88;88;Volume 10k;Agencia/Conta;Matched;88;Bruno Cavalcanti;dnascimento@example.org;2005-09-01;Gerente;5141.85;;;;;;
89;89;Volume 10k;Agencia/Conta;Matched;89;Daniela Cardoso;crocha@example.com;2008-03-23;Analista;8146.61;;;;;;
90;90;Volume 10k;Agencia/Conta;Matched;90;Camila Viana;ana-luizamonteiro@example.com;1994-01-28;Gerente;6539.71;;;;;;
91;91;Volume 10k;Agencia/Conta;Matched;91;Igor Peixoto;peixotorafael@example.net;1997-04-27;Diretor;8529.75;;;;;;
92;92;Volume 10k;Agencia/Conta;Matched;92;Guilherme Nunes;ynascimento@example.com;2004-06-18;Diretor;7828.1;;;;;;
93;93;Volume 10k;Agencia/Conta;Matched;93;Luiza Ferreira;cunhamaria-eduarda@example.org;1995-04-14;Analista;8536.6;;;;;;
94;94;Volume 10k;Agencia/Conta;Matched;94;Pietra Novaes;bcostela@example.org;2011-02-19;Diretor;8906.93;;;;;;
95;95;Volume 10k;Agencia/Conta;Matched;95;Renan Viana;hcostela@example.net;2012-01-26;Diretor;9634.39;;;;;;
96;96;Volume 10k;Agencia/Conta;Matched;96;Lucas Almeida;tda-conceicao@example.com;1994-12-21;Gerente;5508.19;;;;;;
97;97;Volume 10k;Agencia/Conta;Matched;97;Vicente Viana;caldeiramaria-fernanda@example.com;1993-09-10;Diretor;6987.7;;;;;;
98;98;Volume 10k;Agencia/Conta;Matched;98;Maria Eduarda Pereira;ramosbrenda@example.org;1993-08-18;Diretor;9415.78;;;;;;
99;99;Volume 10k;Agencia/Conta;Matched;99;Maria Fernanda Silva;augustoribeiro@example.com;1993-07-17;Gerente;9692.44;;;;;;
100;100;Volume 10k;Agencia/Conta;Matched;100;Joaquim Ara�jo;moraesrenan@example.com;2010-07-27;Analista;8748.92;;;;;;
101;101;Volume 10k;Agencia/Conta;Matched;101;Raquel Nogueira;teixeirapedro-lucas@example.net;2011-10-28;Diretor;7767.86;;;;;;
102;102;Volume 10k;Agencia/Conta;Matched;102;Maria Julia Vieira;teixeirathales@example.com;1996-05-06;Diretor;9088.52;;;;;;
103;103;Volume 10k;Agencia/Conta;Matched;103;Jo�o Lucas Silva;zsilva@example.com;2015-07-03;Gerente;8588.25;;;;;;
104;104;Volume 10k;Agencia/Conta;Matched;104;Leonardo Ribeiro;vieiraemanuel@example.net;2009-01-14;Analista;8668.0;;;;;;
105;105;Volume 10k;Agencia/Conta;Matched;105;Ana L�via Alves;murilo28@example.org;2002-02-10;Analista;9493.9;;;;;;
106;106;Volume 10k;Agencia/Conta;Matched;106;Isaac Peixoto;yasmin94@example.net;2016-08-06;Gerente;6548.32;;;;;;
107;107;Volume 10k;Agencia/Conta;Matched;107;Ana Sophia Cardoso;eduardamoreira@example.net;2010-09-19;Analista;7271.96;;;;;;
108;108;Volume 10k;Agencia/Conta;Matched;108;Lara das Neves;alexandrefreitas@example.com;2002-12-02;Diretor;5695.1;;;;;;
109;109;Volume 10k;Agencia/Conta;Matched;109;Pedro Henrique Mendes;nogueirakamilly@example.com;2008-12-14;Analista;8230.44;;;;;;
110;110;Volume 10k;Agencia/Conta;Matched;110;Pedro Miguel da Cunha;maysa94@example.net;1999-08-08;Gerente;9642.98;;;;;;
111;111;Volume 10k;Agencia/Conta;Matched;111;Ana L�via Peixoto;martinsjoao-lucas@example.com;2006-05-01;Gerente;9724.62;;;;;;
112;112;Volume 10k;Agencia/Conta;Matched;112;Marcelo Lima;hjesus@example.net;2005-11-28;Analista;8933.98;;;;;;
113;113;Volume 10k;Agencia/Conta;Matched;113;Enzo Gabriel da Cunha;emanuelly34@example.org;2012-12-22;Gerente;5484.72;;;;;;
114;114;Volume 10k;Agencia/Conta;Matched;114;Renan Mendes;marcela29@example.org;2019-09-01;Gerente;7873.44;;;;;;
115;115;Volume 10k;Agencia/Conta;Matched;115;Caroline Cavalcanti;krodrigues@example.org;1993-03-27;Diretor;6839.94;;;;;;
116;116;Volume 10k;Agencia/Conta;Matched;116;Lara Castro;plima@example.net;2007-02-18;Diretor;9324.5;;;;;;
117;117;Volume 10k;Agencia/Conta;Matched;117;Matheus Moura;dcampos@example.net;2000-08-07;Analista;6028.82;;;;;;
118;118;Volume 10k;Agencia/Conta;Matched;118;Ana Beatriz Gomes;caua13@example.com;2021-06-09;Gerente;5877.59;;;;;;
119;119;Volume 10k;Agencia/Conta;Matched;119;Daniela Freitas;helenavieira@example.net;1992-08-07;Diretor;7295.87;;;;;;
120;120;Volume 10k;Agencia/Conta;Matched;120;Davi Lucas Costela;iazevedo@example.com;2001-11-13;Analista;8142.6;;;;;;
121;121;Volume 10k;Agencia/Conta;Matched;121;Juan Duarte;bruno85@example.net;2012-11-13;Analista;6701.52;;;;;;
122;122;Volume 10k;Agencia/Conta;Matched;122;Lucca Silveira;pedro-henrique42@example.net;2012-09-27;Analista;8916.33;;;;;;
123;123;Volume 10k;Agencia/Conta;Matched;123;Laura Ramos;pereirakamilly@example.org;2014-03-13;Diretor;9920.94;;;;;;
124;124;Volume 10k;Agencia/Conta;Matched;124;Maria Sophia Oliveira;xfernandes@example.org;2004-03-27;Analista;9490.38;;;;;;
125;125;Volume 10k;Agencia/Conta;Matched;125;Ana Laura Monteiro;rebecacardoso@example.net;2021-10-12;Diretor;9148.45;;;;;;
126;126;Volume 10k;Agencia/Conta;Matched;126;Bryan Freitas;stellanogueira@example.org;1992-10-31;Gerente;7474.18;;;;;;
127;127;Volume 10k;Agencia/Conta;Matched;127;Catarina Arag�o;caroline01@example.com;2008-12-27;Diretor;7583.94;;;;;;
128;128;Volume 10k;Agencia/Conta;Matched;128;Sofia Moreira;enzo55@example.org;2010-04-10;Analista;9623.83;;;;;;
129;129;Volume 10k;Agencia/Conta;Matched;129;Igor Monteiro;diascecilia@example.net;1999-12-25;Gerente;8328.39;;;;;;
130;130;Volume 10k;Agencia/Conta;Matched;130;Francisco da Concei��o;monteiromaria-luiza@example.com;2007-08-03;Analista;9783.75;;;;;;
131;131;Volume 10k;Agencia/Conta;Matched;131;Isabella Martins;ocorreia@example.net;1996-04-04;Gerente;6412.49;;;;;;
132;132;Volume 10k;Agencia/Conta;Matched;132;Bernardo Monteiro;kda-cunha@example.com;1994-08-19;Analista;5138.69;;;;;;
133;133;Volume 10k;Agencia/Conta;Matched;133;Luiza Silveira;maria-alice31@example.org;2020-01-05;Gerente;9017.38;;;;;;
134;134;Volume 10k;Agencia/Conta;Matched;134;Luiz Felipe Ribeiro;daniloribeiro@example.com;2006-09-16;Gerente;7513.83;;;;;;
135;135;Volume 10k;Agencia/Conta;Matched;135;Yuri da Mota;fernandaoliveira@example.net;1995-04-05;Gerente;5472.18;;;;;;
136;136;Volume 10k;Agencia/Conta;Matched;136;Diogo da Rosa;pbarbosa@example.org;2020-10-27;Diretor;5645.82;;;;;;
137;137;Volume 10k;Agencia/Conta;Matched;137;Theo Rezende;pedrogomes@example.com;2022-05-18;Analista;6898.82;;;;;;
138;138;Volume 10k;Agencia/Conta;Matched;138;Let�cia Barros;jesusgustavo@example.net;2009-07-20;Gerente;7863.48;;;;;;
139;139;Volume 10k;Agencia/Conta;Matched;139;Yuri Silva;alvesigor@example.com;2016-12-28;Diretor;7548.86;;;;;;
140;140;Volume 10k;Agencia/Conta;Matched;140;Maria Eduarda Pereira;viniciuscaldeira@example.net;2016-08-22;Diretor;7479.2;;;;;;
141;141;Volume 10k;Agencia/Conta;Matched;141;Cau� Cavalcanti;barrosmaite@example.org;1997-03-20;Diretor;9907.31;;;;;;
142;142;Volume 10k;Agencia/Conta;Matched;142;Leandro Freitas;rochaolivia@example.com;1996-08-15;Diretor;8022.99;;;;;;
143;143;Volume 10k;Agencia/Conta;Matched;143;Thiago Barbosa;augustoda-mata@example.net;1993-06-01;Diretor;5374.17;;;;;;
144;144;Volume 10k;Agencia/Conta;Matched;144;Giovanna Gomes;alvessarah@example.com;2012-08-11;Analista;8646.39;;;;;;
145;145;Volume 10k;Agencia/Conta;Matched;145;Cec�lia Caldeira;maria-cecilia96@example.com;2008-08-31;Gerente;5052.18;;;;;;
146;146;Volume 10k;Agencia/Conta;Matched;146;Ana Julia Ribeiro;lucca03@example.net;1999-04-13;Analista;5761.84;;;;;;
147;147;Volume 10k;Agencia/Conta;Matched;147;Carlos Eduardo Ramos;joao-lucas91@example.org;2022-02-01;Gerente;7835.58;;;;;;
148;148;Volume 10k;Agencia/Conta;Matched;148;Vinicius da Paz;fnascimento@example.net;2005-10-05;Analista;6657.9;;;;;;
149;149;Volume 10k;Agencia/Conta;Matched;149;Maria Nascimento;yasmingoncalves@example.net;2000-10-13;Analista;8382.1;;;;;;
150;150;Volume 10k;Agencia/Conta;Matched;150;Ana Julia Rezende;kribeiro@example.net;2014-07-15;Analista;8851.12;;;;;;
151;151;Volume 10k;Agencia/Conta;Matched;151;Maysa Cardoso;lcardoso@example.org;2010-03-06;Gerente;7162.42;;;;;;
152;152;Volume 10k;Agencia/Conta;Matched;152;Al�cia da Paz;esthernovaes@example.net;2018-06-01;Diretor;8765.37;;;;;;
153;153;Volume 10k;Agencia/Conta;Matched;153;Nicole Gon�alves;nda-conceicao@example.org;2004-10-31;Analista;9994.34;;;;;;
154;154;Volume 10k;Agencia/Conta;Matched;154;Marcos Vinicius Souza;emanuellynunes@example.com;2010-08-01;Analista;8363.53;;;;;;
155;155;Volume 10k;Agencia/Conta;Matched;155;Agatha Cardoso;agoncalves@example.com;2004-02-10;Analista;8244.48;;;;;;
156;156;Volume 10k;Agencia/Conta;Matched;156;Julia Nunes;yoliveira@example.net;2006-12-19;Diretor;7202.83;;;;;;
157;157;Volume 10k;Agencia/Conta;Matched;157;Carolina Freitas;eda-rosa@example.com;2018-11-24;Analista;5179.37;;;;;;
158;158;Volume 10k;Agencia/Conta;Matched;158;Evelyn da Mota;melissaduarte@example.net;2014-10-28;Analista;8067.77;;;;;;
159;159;Volume 10k;Agencia/Conta;Matched;159;Emilly Farias;martinsyasmin@example.net;2009-12-06;Gerente;7246.72;;;;;;
160;160;Volume 10k;Agencia/Conta;Matched;160;Yago Lima;bduarte@example.com;2008-07-17;Gerente;7824.79;;;;;;
161;161;Volume 10k;Agencia/Conta;Matched;161;Luiza Duarte;monteiropietro@example.net;2003-09-19;Analista;7703.26;;;;;;
162;162;Volume 10k;Agencia/Conta;Matched;162;Luiz Miguel Dias;raquelda-conceicao@example.org;2013-06-28;Gerente;8266.91;;;;;;
163;163;Volume 10k;Agencia/Conta;Matched;163;Caio Jesus;valentinadas-neves@example.com;1996-07-12;Analista;6648.66;;;;;;
164;164;Volume 10k;Agencia/Conta;Matched;164;Marina Mendes;hvieira@example.com;2014-10-01;Analista;8581.33;;;;;;
165;165;Volume 10k;Agencia/Conta;Matched;165;Eduardo Novaes;larissasales@example.com;2011-10-07;Analista;9372.1;;;;;;
166;166;Volume 10k;Agencia/Conta;Matched;166;Vicente Oliveira;maria-sophia44@example.net;1993-06-09;Diretor;7154.27;;;;;;
167;167;Volume 10k;Agencia/Conta;Matched;167;Ana Luiza Vieira;carolinanunes@example.net;2009-01-28;Diretor;8222.49;;;;;;
168;168;Volume 10k;Agencia/Conta;Matched;168;Valentina Barbosa;isis98@example.org;2018-01-09;Diretor;9719.52;;;;;;
169;169;Volume 10k;Agencia/Conta;Matched;169;Esther da Luz;correiathiago@example.org;2020-08-13;Diretor;7700.64;;;;;;
170;170;Volume 10k;Agencia/Conta;Matched;170;Isabella das Neves;nunesjoao-vitor@example.com;2003-03-26;Analista;9918.8;;;;;;
171;171;Volume 10k;Agencia/Conta;Matched;171;Beatriz Fernandes;emoreira@example.com;2001-03-13;Diretor;7000.22;;;;;;
172;172;Volume 10k;Agencia/Conta;Matched;172;Beatriz Mendes;marcelada-cunha@example.com;2017-06-27;Gerente;8184.34;;;;;;
173;173;Volume 10k;Agencia/Conta;Matched;173;Cec�lia Teixeira;livia68@example.com;1998-01-06;Analista;6869.72;;;;;;
174;174;Volume 10k;Agencia/Conta;Matched;174;Leandro Sales;eda-costa@example.org;2016-11-26;Diretor;7389.81;;;;;;
175;175;Volume 10k;Agencia/Conta;Matched;175;Emanuella da Paz;nunesjoana@example.org;1994-12-31;Gerente;5776.8;;;;;;
176;176;Volume 10k;Agencia/Conta;Matched;176;Jo�o Lucas Caldeira;xcardoso@example.org;2011-10-16;Diretor;5573.3;;;;;;
177;177;Volume 10k;Agencia/Conta;Matched;177;Nicolas Martins;souzakevin@example.net;1994-05-20;Analista;9722.74;;;;;;
178;178;Volume 10k;Agencia/Conta;Matched;178;Lucca Vieira;julia80@example.com;2001-07-31;Analista;9380.32;;;;;;
179;179;Volume 10k;Agencia/Conta;Matched;179;Ana Clara Duarte;azevedovicente@example.org;2003-10-25;Analista;6758.37;;;;;;
180;180;Volume 10k;Agencia/Conta;Matched;180;Jo�o Jesus;da-mataclara@example.com;2017-09-10;Analista;7890.9;;;;;;
181;181;Volume 10k;Agencia/Conta;Matched;181;B�rbara Castro;iandias@example.net;2010-07-25;Diretor;5393.22;;;;;;
182;182;Volume 10k;Agencia/Conta;Matched;182;Arthur Barbosa;isabellyviana@example.net;2015-08-12;Analista;7046.15;;;;;;
183;183;Volume 10k;Agencia/Conta;Matched;183;Cec�lia Viana;camposvitor-hugo@example.net;2013-05-17;Analista;5130.8;;;;;;
184;184;Volume 10k;Agencia/Conta;Matched;184;Lorena Barbosa;lavinia33@example.net;2011-04-29;Analista;8614.1;;;;;;
185;185;Volume 10k;Agencia/Conta;Matched;185;Thales da Concei��o;cteixeira@example.org;2003-12-27;Gerente;5281.13;;;;;;
186;186;Volume 10k;Agencia/Conta;Matched;186;Caroline Rezende;fernandesbrenda@example.org;2014-10-04;Gerente;6539.18;;;;;;
187;187;Volume 10k;Agencia/Conta;Matched;187;Thales Fernandes;uda-conceicao@example.com;1997-10-21;Gerente;8837.22;;;;;;
188;188;Volume 10k;Agencia/Conta;Matched;188;Luiz Henrique Moraes;diaspedro-lucas@example.com;1994-08-20;Gerente;7890.61;;;;;;
189;189;Volume 10k;Agencia/Conta;Matched;189;Rafael da Cruz;gabriel95@example.com;2012-05-16;Diretor;6456.15;;;;;;
190;190;Volume 10k;Agencia/Conta;Matched;190;Isabelly Alves;da-rosacarlos-eduardo@example.net;2006-08-11;Diretor;6791.8;;;;;;
191;191;Volume 10k;Agencia/Conta;Matched;191;Carolina Gomes;caio89@example.net;1997-05-01;Gerente;9290.74;;;;;;
192;192;Volume 10k;Agencia/Conta;Matched;192;Lucas Gabriel Freitas;davi-lucas89@example.org;2014-10-25;Diretor;8773.6;;;;;;
193;193;Volume 10k;Agencia/Conta;Matched;193;Alexia Caldeira;maria-alice93@example.com;2021-07-17;Analista;8284.64;;;;;;
194;194;Volume 10k;Agencia/Conta;Matched;194;Theo Sales;da-matagustavo-henrique@example.org;2013-07-14;Diretor;8735.9;;;;;;
195;195;Volume 10k;Agencia/Conta;Matched;195;Al�cia Gomes;pdias@example.org;1998-05-14;Diretor;8254.87;;;;;;
196;196;Volume 10k;Agencia/Conta;Matched;196;Cec�lia Melo;glopes@example.org;2000-11-14;Diretor;5680.81;;;;;;
197;197;Volume 10k;Agencia/Conta;Matched;197;Leandro da Cruz;bryanda-paz@example.org;2010-08-03;Gerente;7234.49;;;;;;
