Codigo; Nome; Email; Data; Cargo; Salario
45;Marcelo Aragão;peixotoalexandre@example.net;2010-03-14;Analista;8808.49;
46;Renan Silva;bryanduarte@example.com;2008-03-02;Gerente;5569.45;
47;Guilherme Viana;ian96@example.org;2020-11-08;Analista;9168.33;
48;Luiza Araújo;lorenzosilva@example.com;2009-05-27;Diretor;6357.87;
49;Agatha da Costa;lorenzopeixoto@example.net;1993-02-18;Diretor;8574.90;
50;Kaique Ribeiro;bfreitas@example.org;2016-06-12;Analista;5432.40;
51;Leonardo da Mota;goncalvesana-sophia@example.org;2018-02-01;Diretor;6725.79;
52;Isaac Melo;diaspedro@example.com;2012-11-16;Diretor;7814.26;
53;Marcos Vinicius Cavalcanti;amandajesus@example.com;1996-12-18;Gerente;8885.4;
54;Ana Lívia Viana;pedro-lucas57@example.org;2007-08-04;Gerente;5805.2;
55;Gabriela Monteiro;paulobarbosa@example.net;2001-08-20;Analista;6538.39;
56;Kamilly Fogaça;ana-julia49@example.net;2007-11-02;Diretor;8187.98;
57;Isabelly da Rosa;tdias@example.net;2015-06-11;Diretor;8368.18;
58;Sofia Rocha;vianalevi@example.org;2020-04-03;Analista;8335.72;
59;Gustavo Henrique da Costa;davi-luccarocha@example.com;1998-09-23;Diretor;8224.61;
60;Alana da Mata;costelamaria@example.com;2008-05-14;Gerente;7931.29;
61;Isaac Alves;monteirocaio@example.net;2001-03-14;Diretor;5463.11;
62;Sarah Porto;lucasgomes@example.org;2017-02-26;Analista;9129.27;
63;Fernando Aragão;diego59@example.com;2004-07-12;Diretor;9926.14;
64;Agatha da Mata;vianamirella@example.net;1994-01-12;Diretor;5149.17;
65;Sofia da Rocha;limajoaquim@example.com;2019-01-21;Diretor;6723.63;
66;Thales da Luz;da-pazcarolina@example.org;2011-02-17;Analista;7165.33;
67;Rafael Rodrigues;pietro86@example.org;2011-12-15;Gerente;6562.23;
68;Yasmin Aragão;kaiquefreitas@example.com;2016-07-26;Analista;9083.84;
69;Pedro Alves;claraduarte@example.com;2001-09-17;Analista;7956.10;
70;Bruno Duarte;danilo18@example.org;1993-02-03;Analista;7056.30;
71;Gabrielly Correia;moraesmaria-alice@example.org;2001-12-17;Analista;5558.36;
72;Letícia Santos;melissacorreia@example.com;2016-05-10;Analista;8360.27;
73;Theo Costa;pireseduarda@example.net;1993-09-08;Analista;9314.29;
74;Gabriel Cavalcanti;nicolascardoso@example.com;2005-09-20;Gerente;9350.89;
75;Antônio Barros;theogoncalves@example.org;2008-05-19;Analista;5924.33;
76;Isaac da Mata;heloisa60@example.com;2016-01-13;Diretor;8260.89;
77;Alana Barbosa;melissagomes@example.org;2007-05-10;Gerente;6356.77;
78;Nathan Lopes;isales@example.com;2011-10-22;Diretor;8792.50;
79;Beatriz Freitas;lucca82@example.org;2006-07-13;Gerente;9679.64;
80;Maria Clara Castro;mirellada-rocha@example.com;2021-01-31;Gerente;6471.83;
81;Yuri Silveira;stellada-conceicao@example.org;2017-10-20;Diretor;6172.38;
82;Breno Jesus;cbarbosa@example.com;2001-10-22;Gerente;7456.71;
83;João Gabriel Nogueira;maria-clara55@example.org;2004-05-20;Gerente;7382.63;
84;Paulo Sales;ryanpeixoto@example.com;1999-10-18;Diretor;6705.59;
85;Kamilly Souza;sporto@example.net;2002-03-16;Diretor;6479.14;
86;Ana Júlia Moura;eduarda92@example.net;2005-09-20;Diretor;6151.18;
87;Matheus Silveira;raulda-costa@example.com;2012-02-21;Gerente;8711.37;
88;Vinicius Correia;lorenanunes@example.org;2011-09-07;Gerente;6084.31;
89;Luna Azevedo;juliacastro@example.org;2010-11-14;Diretor;9497.61;
90;Lara Vieira;fariasmarcos-vinicius@example.com;1997-10-16;Diretor;7718.38;
91;João Rodrigues;fariasgiovanna@example.com;2019-04-04;Analista;5676.38;
92;João Miguel Azevedo;luiz-felipeteixeira@example.org;2004-05-21;Diretor;5114.23;
93;Maria Sophia da Cruz;joao-pedro38@example.org;2019-08-20;Diretor;9776.39;
94;Maria Vitória Oliveira;sbarbosa@example.com;2001-03-10;Diretor;8369.42;
95;Luana Azevedo;maitefogaca@example.net;2013-06-18;Gerente;9019.32;
96;Ana Lívia Oliveira;xmendes@example.org;2005-03-12;Diretor;8081.66;
97;Ana Beatriz Teixeira;castroisis@example.net;1997-02-07;Gerente;8406.18;
98;Nathan Ramos;jesusluiz-otavio@example.com;2000-08-28;Diretor;9856.86;
99;Kevin Barros;barrosjoao-pedro@example.com;2019-12-01;Gerente;5466.75;
100;Augusto da Costa;ian40@example.org;2008-01-21;Gerente;8741.16;
101;Bernardo Nogueira;barroslucas-gabriel@example.net;2005-12-08;Gerente;6842.72;
102;Manuela Moura;sophienascimento@example.net;2001-10-13;Diretor;7162.11;
103;Igor da Costa;mlopes@example.org;2016-04-21;Diretor;7075.22;
104;Yuri Vieira;cardosoantonio@example.net;2018-07-20;Gerente;9571.18;
105;Fernando Santos;aramos@example.com;1993-07-13;Analista;7389.33;
106;Nicole Oliveira;daniel85@example.com;2017-02-16;Diretor;6010.43;
107;Luiz Fernando Cunha;bruno62@example.org;2022-05-26;Diretor;6398.88;
108;Pedro Lucas Correia;gabriellyda-conceicao@example.com;2014-04-27;Analista;7819.73;
109;Emanuel Souza;renansouza@example.org;2001-06-29;Gerente;6676.41;
110;Samuel Sales;antonio86@example.org;2007-04-21;Analista;7573.46;
111;Leonardo Nascimento;martinsluiz-miguel@example.org;1998-01-29;Diretor;6392.42;
112;Yuri da Luz;vporto@example.com;2021-09-07;Gerente;6235.17;
113;Fernando Cunha;ksouza@example.net;2006-05-12;Gerente;8422.16;
114;Noah Rocha;jesuserick@example.org;2002-11-19;Gerente;5211.74;
115;Lívia Gonçalves;catarina75@example.com;2008-02-23;Diretor;7079.91;
116;João Lucas Novaes;isabelly53@example.com;2020-03-24;Gerente;6120.86;
117;Emanuel Viana;levi67@example.org;2000-07-08;Gerente;5662.11;
118;Luana Azevedo;agatha60@example.org;1996-08-19;Analista;8909.69;
119;Manuela Rocha;yda-mata@example.org;2021-06-07;Analista;5309.77;
120;Vinicius Fogaça;marcelacavalcanti@example.net;2019-06-25;Analista;5048.88;
121;João Felipe Novaes;almeidacalebe@example.com;2008-01-17;Gerente;6296.91;
122;Caroline Carvalho;piresenrico@example.com;1997-07-19;Analista;6326.20;
123;Pedro Miguel Peixoto;rpeixoto@example.net;2006-02-15;Diretor;5640.77;
124;Esther da Costa;gabriel66@example.org;2018-03-12;Analista;8107.53;
125;João Santos;wpinto@example.net;1994-08-21;Diretor;8181.27;
126;Sarah Carvalho;mnogueira@example.net;2006-09-11;Analista;7362.65;
127;Thales Cardoso;ribeiroluiz-otavio@example.org;2007-01-07;Analista;5179.60;
128;Leonardo Lopes;rebecacardoso@example.org;2014-01-19;Gerente;6034.46;
129;Vitor Gabriel Costela;cardosoisabel@example.net;2010-12-11;Diretor;8084.91;
130;Thiago Campos;rrocha@example.net;2009-04-02;Diretor;6015.11;
131;Alexia Teixeira;juanda-rocha@example.net;2002-02-03;Gerente;8087.19;
132;Julia Ramos;goliveira@example.net;2017-07-24;Analista;9036.38;
133;Diego Costa;aragaobreno@example.org;2015-10-18;Diretor;5619.83;
134;Danilo Vieira;fgoncalves@example.net;2016-08-19;Gerente;6451.90;
135;João Guilherme da Mata;da-cunhaana-luiza@example.net;2008-06-05;Analista;7027.78;
136;Sophie Castro;ana-beatriz70@example.org;2008-03-15;Gerente;8107.87;
137;Danilo Almeida;mendesana@example.net;2003-08-22;Analista;8526.45;
138;Marcela Dias;jrezende@example.org;1997-01-19;Analista;9219.55;
139;Raul Souza;yuri11@example.org;2004-01-16;Analista;9112.46;
140;Isis Silveira;santosclara@example.org;2005-02-20;Diretor;7529.10;
141;Mariane Nogueira;goncalvesisabelly@example.com;2000-06-27;Gerente;5395.31;
142;Stephany da Paz;vianabeatriz@example.com;1993-06-30;Analista;7014.96;
143;Ana Almeida;maria69@example.com;2022-02-06;Gerente;8106.94;
144;Isadora Correia;ana-juliamelo@example.org;2020-01-14;Gerente;8164.75;
145;Augusto Pinto;piresana-julia@example.com;2001-11-30;Gerente;5645.84;
146;Rafael Ribeiro;kaiquenascimento@example.org;1999-04-03;Diretor;9267.82;
147;Lorena Martins;ifernandes@example.net;2016-12-02;Analista;8165.73;
148;Caroline Gonçalves;gabrielly93@example.net;2021-06-13;Gerente;9315.91;
149;Lorena Peixoto;joaquimalmeida@example.org;2019-07-31;Diretor;5911.94;
150;Yago Correia;antoniooliveira@example.com;2020-02-24;Analista;5923.57;
151;Catarina Ferreira;lopesrebeca@example.com;1998-03-26;Diretor;8021.38;
152;Heloísa Aragão;maria-sophiaviana@example.org;2008-08-12;Diretor;9157.40;
153;Luana Duarte;mmoura@example.com;2002-02-25;Analista;7986.70;
154;Francisco Silva;marcelalima@example.net;2008-04-06;Analista;7535.61;
155;Yago Porto;saleslavinia@example.net;2000-08-09;Analista;9464.74;
156;Mariane Costa;diascecilia@example.com;2014-07-20;Diretor;5745.7;
157;Milena Rodrigues;ybarros@example.org;1998-01-25;Analista;6295.39;
158;Fernando Rocha;luiz-henriquelima@example.net;2003-10-29;Analista;6729.40;
159;Noah Nunes;pietra81@example.com;1994-07-07;Gerente;5551.16;
160;Nathan Moreira;souzaana-julia@example.com;1997-02-06;Diretor;9766.7;
161;Gabriela Viana;melissada-rocha@example.net;1994-05-27;Analista;9428.13;
162;Thomas Aragão;marceloporto@example.net;2000-10-20;Gerente;5253.82;
163;João Felipe Aragão;danielafreitas@example.com;2000-06-07;Diretor;8602.9;
164;Valentina Pinto;ana-liviajesus@example.net;2020-06-06;Analista;8458.74;
165;Bruno Pereira;gabriela72@example.org;2003-11-30;Diretor;8990.8;
166;Luiz Otávio Barros;emanuelly75@example.net;2003-03-10;Gerente;6395.57;
167;Elisa Novaes;nogueirathomas@example.net;2007-10-03;Gerente;7569.32;
168;Joana Fogaça;npeixoto@example.com;1993-01-18;Diretor;8350.69;
169;Olivia Jesus;cda-conceicao@example.com;2015-05-16;Analista;5577.13;
170;Vitor Gabriel Oliveira;moraesrodrigo@example.com;2016-09-11;Diretor;5554.80;
171;Fernanda Cardoso;ana-carolinacorreia@example.net;2012-08-16;Diretor;5919.49;
172;Lavínia Teixeira;nathancarvalho@example.org;1993-08-17;Diretor;5708.60;
173;João Pedro Barros;uribeiro@example.org;2018-07-07;Gerente;5184.61;
174;Heitor da Mota;azevedoluiz-miguel@example.net;2006-07-28;Diretor;6845.44;
175;Maria da Luz;castrojoaquim@example.net;2005-08-23;Analista;7128.96;
176;Yasmin Dias;wsantos@example.org;1993-03-13;Diretor;5211.81;
177;Murilo Fogaça;marianavieira@example.org;2021-07-18;Diretor;5989.4;
178;Mariana Cardoso;oliviapinto@example.com;1998-10-03;Diretor;8452.11;
179;Lorena Farias;nathanazevedo@example.com;2003-11-14;Diretor;6196.66;
180;Júlia Teixeira;bda-mata@example.net;2011-10-05;Gerente;7713.20;
181;João Pedro Santos;gabrielanovaes@example.net;2002-07-24;Analista;6774.38;
182;Elisa Nunes;henrique69@example.com;2010-01-13;Diretor;9188.23;
183;Miguel da Mota;ycardoso@example.org;2000-01-09;Diretor;9696.96;
184;Danilo da Mota;imoraes@example.net;2003-10-06;Analista;5808.9;
185;Luiz Otávio da Conceição;salescaue@example.net;2012-06-28;Gerente;6373.99;
186;Vitor Gabriel Ferreira;helena29@example.com;2014-01-17;Analista;8428.80;
187;Fernanda Duarte;beatriz47@example.com;2018-07-28;Analista;5863.29;
188;Isis Teixeira;ana-vitorialima@example.org;1999-01-03;Gerente;7030.78;
189;Luiz Gustavo Novaes;raquel55@example.org;2004-08-18;Gerente;6330.23;
190;Maria Pinto;rcosta@example.org;2012-11-04;Gerente;8592.72;
191;Miguel Costela;gomespedro-miguel@example.com;1996-11-14;Analista;9604.55;
192;Otávio da Luz;diego57@example.com;2021-11-08;Diretor;5897.10;
193;Gustavo Henrique Ramos;jesusnina@example.org;1994-02-19;Gerente;8986.40;
194;Mariane Almeida;msilva@example.net;2022-02-28;Diretor;7676.70;
195;Ana Lívia Pinto;danielasilveira@example.com;2004-07-01;Analista;8155.26;
196;Sabrina Fernandes;koliveira@example.org;2007-09-07;Analista;6755.87;
197;Heitor Nogueira;zsilveira@example.net;2004-01-30;Diretor;9146.94;
198;Sofia Moura;da-cruzpedro-miguel@example.com;1995-06-15;Analista;7524.56;
199;Antônio Cardoso;pintoeduarda@example.com;2021-10-31;Analista;6968.16;
200;Gustavo Henrique Campos;joao-lucas77@example.com;2011-06-05;Diretor;6199.91;
201;Gustavo Caldeira;raulcardoso@example.net;2013-03-20;Gerente;5188.36;
202;Lucca Rocha;jesusanthony@example.net;2000-06-21;Diretor;5094.18;
203;Heitor Viana;gabriellyda-mota@example.com;2001-09-27;Gerente;6958.52;
204;Gabrielly Nogueira;alice90@example.net;1996-10-05;Diretor;8228.14;
205;Leandro Peixoto;zramos@example.org;2015-12-18;Gerente;5854.61;
206;Isabella Duarte;azevedodavi-lucas@example.com;2004-02-05;Analista;9308.37;
207;Henrique Campos;arezende@example.net;2014-10-29;Gerente;9683.83;
208;Alícia Farias;fcosta@example.net;2011-09-02;Gerente;9619.50;
209;Bianca Moura;mcardoso@example.net;1993-03-18;Analista;7880.15;
210;Giovanna Azevedo;maria-julia71@example.com;1992-11-29;Diretor;6199.44;
211;Ana Clara Vieira;fernandesbenjamin@example.net;2000-12-18;Gerente;6428.37;
212;Clarice Pinto;salesmaria-cecilia@example.org;2019-11-19;Gerente;6583.99;
213;João Felipe Barbosa;oliveiragustavo@example.net;2000-11-03;Analista;8092.49;
214;Thomas Almeida;piresluiz-otavio@example.net;2013-05-17;Gerente;5672.51;
215;Benício Cardoso;drodrigues@example.net;2008-11-04;Gerente;9461.73;
216;Julia da Paz;coliveira@example.org;2013-05-28;Diretor;8795.15;
217;Alícia Gonçalves;ununes@example.org;2016-10-23;Gerente;8155.28;
218;Nicole Nunes;samuelmonteiro@example.org;2012-01-16;Analista;9962.13;
219;Bianca da Cruz;emanuellyda-cunha@example.net;2015-01-24;Analista;8909.25;
220;Lorenzo da Conceição;caua71@example.com;1994-07-19;Gerente;6520.34;
221;Emanuella Alves;emilly01@example.org;1996-06-05;Diretor;5845.67;
222;Marina Araújo;marcos-viniciusda-luz@example.net;2011-07-07;Gerente;7120.38;
223;Valentina Nogueira;thiagolima@example.org;2001-12-23;Diretor;7524.32;
224;João Miguel Ramos;guilhermecastro@example.org;1995-03-05;Diretor;8457.85;
225;Caio Caldeira;nferreira@example.org;2016-07-16;Analista;6970.87;
226;Sabrina da Mata;vitor-gabrielda-luz@example.org;2017-01-24;Diretor;7916.31;
227;Isabelly da Mota;acardoso@example.net;2011-06-29;Analista;6347.8;
228;Maria Fernanda Melo;yrezende@example.net;2008-10-11;Gerente;6208.72;
229;Alexia Monteiro;karagao@example.org;2003-01-04;Analista;6341.98;
230;Ana Lívia Novaes;peixotojoao-pedro@example.org;2000-07-06;Diretor;9132.7;
231;Kamilly Vieira;brunarodrigues@example.org;2010-09-11;Gerente;8552.22;
232;Kaique Vieira;isabella69@example.net;2001-11-14;Analista;8946.64;
233;Júlia Nogueira;barbaracaldeira@example.com;2009-08-19;Analista;8872.13;
234;Valentina Cardoso;rsilva@example.com;2016-10-20;Diretor;6562.66;
235;Nicole Pinto;silveiracatarina@example.com;2012-02-24;Analista;6469.72;
236;Rafael Castro;nascimentoantonio@example.net;2003-03-01;Diretor;6461.37;
237;Ana Pires;juliana89@example.org;1998-02-13;Gerente;8363.11;
238;Thales Cardoso;nuneseduardo@example.com;2000-07-14;Diretor;7214.97;
239;Thiago Souza;maria-sophiada-luz@example.net;2009-03-10;Diretor;7194.1;
240;Vitória Viana;ana-vitoriarocha@example.com;1995-09-28;Diretor;8155.77;
241;Elisa Rodrigues;nicolas78@example.net;1994-06-06;Gerente;8655.92;
242;Raquel Correia;joao-pedrosantos@example.org;1992-12-19;Analista;5700.3;
243;Kaique das Neves;rochajoao-lucas@example.com;2008-02-28;Gerente;9030.98;
244;Heitor Silva;caldeiraleandro@example.net;2018-06-03;Gerente;6191.38;
245;Samuel Correia;gomesrodrigo@example.org;2007-12-23;Diretor;6388.41;
246;Ana Lívia Lopes;yfogaca@example.org;1992-12-02;Gerente;6843.76;
247;Noah Souza;souzapietro@example.org;1993-05-25;Analista;6312.24;
248;Bruno Aragão;rafaelacavalcanti@example.org;2016-08-04;Gerente;9262.99;
249;Luna Rodrigues;joao35@example.com;2012-01-15;Diretor;7813.74;
250;Mirella Peixoto;diogoda-mata@example.com;2004-05-29;Analista;5498.53;
251;Maitê Martins;enricorezende@example.net;2020-10-07;Diretor;7099.53;
252;Benjamin das Neves;abarros@example.org;1995-04-02;Diretor;5681.92;
253;Davi Rocha;lrocha@example.org;2000-06-05;Diretor;7175.95;
254;Pietra Lima;eduardorocha@example.com;1994-02-07;Analista;8939.82;
255;Ian Teixeira;piresyago@example.org;2002-12-29;Gerente;9605.49;
256;Maria Sophia Pereira;nogueiraana-livia@example.com;2018-04-22;Gerente;8700.56;
257;Vitória da Rosa;ramosrodrigo@example.com;2021-07-31;Gerente;9857.83;
258;Lucas Dias;qcardoso@example.org;2021-10-20;Diretor;8907.96;
259;Anthony Moraes;lucasvieira@example.net;2011-04-11;Diretor;9027.74;
260;Benjamin Fernandes;tteixeira@example.org;2006-10-02;Diretor;7661.29;
261;Guilherme Pereira;nathan31@example.org;2018-01-09;Analista;8067.37;
262;Heitor Teixeira;silvabruno@example.org;1992-08-26;Analista;8706.82;
263;Rodrigo Oliveira;krocha@example.net;2015-12-04;Gerente;9549.28;
264;Elisa Rezende;hcunha@example.com;2020-04-27;Analista;5386.37;
265;Felipe da Mota;lucca58@example.com;1994-09-14;Analista;7704.99;
266;Davi Ferreira;joao-gabrielcorreia@example.net;2017-11-09;Analista;6408.6;
267;Vinicius Porto;fernandorezende@example.com;2015-10-27;Diretor;5164.68;
268;Luiz Felipe da Paz;lucas92@example.org;2008-01-03;Diretor;7547.35;
269;Marina Barbosa;silvamarcos-vinicius@example.com;2008-05-18;Analista;9339.46;
270;Gabrielly Silva;da-rochaenzo-gabriel@example.org;2019-11-27;Analista;7524.30;
271;Luiz Fernando da Cruz;hmelo@example.com;2009-05-08;Diretor;5572.0;
272;Juliana Barros;maite35@example.org;1993-09-07;Diretor;7370.1;
273;Vitória Ferreira;ccunha@example.org;2006-08-09;Diretor;7458.79;
274;Laura Moraes;duartebianca@example.net;2016-12-10;Gerente;7539.48;
275;Marcos Vinicius Alves;da-rosamaria-sophia@example.com;2000-01-20;Diretor;7741.34;
276;Maria Alice Silva;joananogueira@example.org;2001-01-11;Diretor;9597.95;
277;Thales Rodrigues;breno89@example.net;1994-01-21;Gerente;8064.59;
278;Lorena Martins;anthony39@example.com;2005-01-24;Analista;8208.8;
279;Bruno Ribeiro;miguelcarvalho@example.com;1996-11-29;Gerente;6943.99;
280;Bryan Jesus;epires@example.org;2022-04-23;Analista;6084.75;
281;Emanuella Cardoso;evelynoliveira@example.net;2013-05-25;Analista;6083.34;
282;Fernando Fernandes;vitor40@example.com;2004-06-02;Analista;7448.66;
283;Rebeca Nascimento;gustavo56@example.net;1999-04-20;Analista;9288.16;
284;Maria Eduarda da Rocha;da-rosadavi-lucca@example.org;2002-04-13;Gerente;8961.86;
285;André Lima;ccaldeira@example.com;2016-06-25;Diretor;9820.89;
286;Maria Luiza Teixeira;nataliapires@example.net;2020-05-27;Diretor;7982.98;
287;Leonardo Nunes;emillyazevedo@example.org;2000-07-29;Gerente;7649.9;
288;Ian Moreira;maria-fernanda01@example.com;1995-08-31;Analista;9356.5;
289;Marcela da Rosa;cardosoolivia@example.com;2001-04-17;Diretor;7441.54;
290;Vicente Vieira;samuelribeiro@example.org;1995-08-11;Gerente;9372.43;
291;João Felipe da Rosa;fda-cunha@example.net;1994-12-30;Diretor;6112.76;
292;Diego Nogueira;paulo92@example.org;2005-03-29;Diretor;7022.4;
293;Vitor Gabriel Santos;wpires@example.net;2008-11-05;Analista;8739.8;
294;Emilly Rodrigues;joao-pedro38@example.net;2005-03-23;Diretor;7066.54;
295;Nathan Almeida;benjamin44@example.org;2006-06-28;Analista;7878.92;
296;Arthur Barros;galves@example.net;2005-11-26;Gerente;8254.19;
297;Davi Lucas Ramos;joanaalves@example.net;2012-07-05;Analista;9569.46;
298;Otávio Silva;wpires@example.org;2019-02-19;Diretor;7561.77;
299;Beatriz da Rocha;da-costaantonio@example.org;2016-08-25;Analista;7659.52;
300;Emanuella da Mota;maria-luizanogueira@example.com;1993-08-02;Gerente;6225.90;
301;Mirella Cavalcanti;rochaluiz-felipe@example.net;2008-05-16;Diretor;6636.69;
302;Ryan Campos;moreiraenrico@example.com;2006-07-30;Analista;9999.56;
303;Kevin Lopes;hsales@example.org;1993-09-06;Gerente;9410.39;
304;João Pedro Alves;maria-ceciliaoliveira@example.com;2007-09-06;Analista;8137.3;
305;Nicolas Duarte;lucca14@example.org;2000-07-01;Diretor;8205.51;
306;Maria Vitória Melo;igorfernandes@example.org;2018-07-28;Gerente;7265.22;
307;Luiz Otávio da Mata;luiza84@example.com;2013-02-20;Analista;6011.33;
308;Caio Dias;duarteana-livia@example.com;2008-09-25;Gerente;7149.16;
309;Otávio Rezende;emanuelly84@example.org;2004-11-27;Gerente;5631.63;
310;Enzo Gabriel Pires;nunesfernando@example.com;2016-08-19;Diretor;7374.8;
311;Pedro Lucas Teixeira;wcastro@example.org;2002-10-15;Gerente;6045.35;
312;Paulo das Neves;emartins@example.com;2007-12-31;Analista;5372.8;
313;Isaac Duarte;lucas-gabrielda-cunha@example.com;2006-06-10;Gerente;9338.23;
314;Bruno Ramos;leandro70@example.org;2005-05-22;Diretor;8819.17;
315;Pietra Correia;gabriela12@example.com;2006-04-10;Analista;7572.65;
316;Rebeca Porto;salesbruna@example.com;2002-08-25;Gerente;7891.58;
317;Ana Júlia Nunes;lorena39@example.org;2006-06-26;Analista;5266.10;
318;Emilly Freitas;souzagustavo@example.org;1999-04-22;Diretor;5660.32;
319;Agatha Costa;halves@example.net;2022-01-24;Diretor;7251.89;
320;Vitor Jesus;portoemanuelly@example.net;2018-03-26;Gerente;7570.19;
321;Vitor Ferreira;henriquemelo@example.net;2004-12-28;Gerente;9364.26;
322;Luiza Gomes;luiz-henrique72@example.com;2006-07-08;Gerente;9851.42;
323;Vitor Gabriel Duarte;zbarbosa@example.org;2001-11-18;Analista;5846.32;
324;João Araújo;souzaana-beatriz@example.com;2018-02-02;Diretor;8051.83;
325;Vitor Gabriel Barros;fernandacaldeira@example.net;1994-01-22;Gerente;6488.92;
326;Davi Ramos;monteirofelipe@example.com;2016-11-09;Diretor;6453.30;
327;Larissa Alves;cardosothomas@example.net;1996-10-06;Analista;6883.36;
328;Mirella da Cruz;rgomes@example.org;1994-11-20;Diretor;5718.17;
329;Murilo Souza;marcelo58@example.com;2018-06-30;Gerente;8563.97;
330;Breno Cavalcanti;pedro-lucassales@example.net;1995-01-21;Analista;5219.78;
331;Fernanda Viana;miguel26@example.com;1998-12-03;Analista;9494.5;
332;Yuri Castro;cunhanoah@example.net;2010-10-02;Gerente;9563.93;
333;Anthony da Paz;camila31@example.org;2016-09-04;Analista;9585.29;
334;Alexia das Neves;laragao@example.net;2001-11-03;Analista;7322.11;
335;Yasmin Cardoso;mariane16@example.org;2010-12-06;Analista;7983.33;
336;Rebeca Moreira;clarasilva@example.com;2008-01-19;Analista;9981.10;
337;Marina Costa;cardosoluiz-gustavo@example.net;2022-04-23;Gerente;5328.68;
338;João Miguel da Paz;benjamin60@example.org;2005-10-23;Analista;7388.89;
339;Guilherme Moraes;pedro-miguelmendes@example.org;1996-09-23;Diretor;9924.34;
340;Leonardo Oliveira;santosbruna@example.net;2017-07-08;Diretor;8930.11;
341;Lucas Gabriel Novaes;cda-mata@example.com;2002-10-28;Analista;9892.33;
342;Maria Clara Dias;sophiabarros@example.org;2001-08-15;Gerente;9165.88;
343;Joana da Rosa;goncalvesdavi@example.com;1999-06-23;Diretor;5056.50;
344;Gabriel Mendes;galmeida@example.org;1997-03-08;Analista;5893.44;
345;Ana Sophia Azevedo;emanuel31@example.org;2016-10-10;Diretor;8155.42;
